;Selig Donovan SD8020
;This is a symmetrical section for horizontal and vertical 
;tail surfaces. Unlike NACA 0009 it shows no significant deadband
;at zero lift and low reynolds numbers. This gives a model
;smoother, more predictable handling across the whole range of movement 
1.00000	0.00000
.99646	0.00027
.98625	0.00131
.97017	0.00330
.94885	0.00591
.92247	0.00876
.89118	0.01188
.85538	0.01532
.81560	0.01908
.77237	0.02308
.72627	0.02722
.67789	0.03135
.62777	0.03535
.57647	0.03909
.52456	0.04246
.47261	0.04536
.42116	0.04770
.37077	0.04938
.32196	0.05034
.27523	0.05051
.23106	0.04982
.18987	0.04824
.15203	0.04574
.11789	0.04233
.08774	0.03802
.06179	0.03287
.04024	0.02697
.02318	0.02041
.01065	0.01345
.00276	0.00645
.00000	0.00000
.00276	-.00645
.01066	-.01345
.02319	-.02041
.04024	-.02697
.06180	-.03287
.08774	-.03802
.11790	-.04233
.15204	-.04574
.18987	-.04824
.23107	-.04982
.27524	-.05051
.32197	-.05034
.37077	-.04938
.42117	-.04769
.47262	-.04536
.52457	-.04246
.57648	-.03908
.62778	-.03534
.67790	-.03135
.72629	-.02722
.77238	-.02308
.81561	-.01907
.85539	-.01532
.89119	-.01188
.92248	-.00876
.94886	-.00591
.97018	-.00330
.98626	-.00131
.99647	-.00027
1.00001	0.00000
end


