;Michael Selig S2046-090-83
;A redesigned HQ2.5/9  which should provide lower drag at low angles of
;attack. (The HQ2.5/9 pulls a suction peak on the leading edge of the lower
;surface for angles of attack less than 4 degrees. This increases the
;bias towards laminar separation on the lower surface.)
;
1.00000	0.00000
.00684	0.00049
.98756	0.00202
.97263	0.00462
.95247	0.00812
.92737	0.01233
.89766	0.01717
.86379	0.02256
.82624	0.02835
.78552	0.03433
.74211	0.04029
.69650	0.04603
.64915	0.05136
.60053	0.05608
.55108	0.06005
.50122	0.06316
.45137	0.06540
.40203	0.06678
.35374	0.06732
.30703	0.06700
.26243	0.06577
.22040	0.06357
.18129	0.06031
.14539	0.05600
.11291	0.05071
.08406	0.04462
.05912	0.03795
.03838	0.03089
.02209	0.02352
.01036	0.01588
.00307	0.00813
.00003	0.00077
.00192	-.00536
.00922	-.01059
.02154	-.01535
.03875	-.01919
.06092	-.02200
.08807	-.02383
.12001	-.02492
.15629	-.02542
.19647	-.02538
.24002	-.02481
.28644	-.02373
.33514	-.02206
.38567	-.01967
.43769	-.01655
.49083	-.01284
.54465	-.00876
.59863	-.00461
.65213	-.00068
.70446	0.00276
.75491	0.00546
.80269	0.00717
.84689	0.00768
.88649	0.00710
.92073	0.00578
.94909	0.00412
.97129	0.00249
.98721	0.00116
.99679	0.00030
1.00000	0.00000
end

