;Eppler 168
;12.5% thick, symmetrical aerofoil
100.0	0.000
99.649	.021
98.631	.108
97.018	.271
94.855	.476
92.146	.706
88.914	.979
85.210	1.306
81.090	1.691
76.616	2.130
71.854	2.615
66.871	3.135
61.736	3.673
56.516	4.211
51.275	4.728
46.075	5.200
40.972	5.606
36.019	5.924
31.262	6.134
26.739	6.221
22.485	6.177
18.536	5.995
14.915	5.672
11.641	5.211
8.730	4.627
6.198	3.944
4.069	3.187
2.363	2.380
1.095	1.550
.287	.733
.000	.000
.287	-.733
1.095	-1.550
2.363	-2.380
6.198	-3.944
8.730	-4.627
11.641	-5.211
14.915	-5.672
18.536	-5.995
22.485	-6.177
26.739	-6.221
31.262	-6.134
36.019	-5.924
40.972	-5.606
46.075	-5.200
51.275	-4.728
56.516	-4.211
61.736	-3.673
66.871	-3.135
71.854	-2.615
76.616	-2.130
81.090	-1.691
85.210	-1.306
88.914	-.979
92.146	-.706
94.855	-.476
97.018	-.271
98.631	-.108
99.649	-.021
100.0	0.000

